id,jour,ordre conditions,ordre histoires,condition,histoire,PM oral,nbSyll,debit moyen,variance debit,identification,dénomination,nb0,nb1,freq moy pédalage/baseline,variance pédalage/baseline,freq moy pédalage,variance pédalage,nbSyllAudio,nbPauses,SpeechRate,ArticulationRate,SpeakingDuration,originalDuration
7,1,c 1023,s 1320,2,2,,634,4.359111307592722,1.2107110959016083,0,2.0857142857142854,0,1,,,0.5775454018167938,0.04713676125635316,576,46,3.9695666556400915,4.6189376443418,0.85941118094608,124.70400000000004
6,2,c 2103,s 3021,1,0,,326,4.2168907303313965,1.2826660319723353,0,0.0,3,0,,,,,317,20,4.117310889443059,4.86793611793612,0.8458021612635075,65.11999999999998
6,1,c 2103,s 3021,3,1,,383,4.057272674266521,2.43150444832412,0,1.8285714285714285,1,1,-42.867941976370496,-22.546191839590612,0.5013623185730609,0.05146443487802388,359,26,3.7881985480330913,4.634889485643462,0.8173223028870505,77.456
6,1,c 2103,s 3021,1,0,,342,4.1571192933079555,1.9939281733944665,0,2.928571428571429,0,2,,,,,341,20,4.151246591351772,4.9714252390949385,0.8350214257888585,68.592
7,1,c 1023,s 1320,0,3,,535,4.00968877835054,1.7674351117213567,0,1.2285714285714284,0,0,,,,,508,35,3.9786967418546357,4.5324768022840844,0.8778195488721799,112.07999999999996
7,2,c 1023,s 1320,1,1,,540,4.251316017579469,2.0571703833975197,0,0.0,3,0,,,,,496,40,3.9057578430137325,4.7891240537617765,0.8155474360589647,103.56800000000007
7,2,c 1023,s 1320,3,0,,657,3.624362182197272,2.2086171459494883,0,0.0,3,0,-21.604592458851148,-52.93955282122672,0.4822781189077642,0.021309419010636484,654,49,3.8304751194827102,4.589602515158322,0.8345984443819694,142.49599999999992
7,1,c 1023,s 1320,3,0,,772,4.3060078554540535,0.985646856091536,0,1.9,0,1,-7.4630432517760354,-3.7826672422525243,0.5698204016082647,0.04554479369445395,735,48,4.104861049057278,4.743649318463444,0.8653382182110626,154.94400000000005
7,2,c 1023,s 1320,2,2,,629,4.144945039329035,1.9957594816054376,0,0.0,3,0,,,0.579293084226076,0.03116278383090654,574,45,3.813244047619047,4.587009333844776,0.8313137755102041,125.13600000000002
7,1,c 1023,s 1320,1,1,,628,3.8299689260192493,2.734183814307648,0,1.9285714285714286,0,0,,,,,584,51,3.92557539255754,4.770618219840545,0.8228651322865133,122.41599999999998
7,2,c 1023,s 1320,0,3,,455,4.058771086358934,2.3397698887518974,0,0.41428571428571426,2,0,,,,,431,35,3.846565757532486,4.622876265659861,0.8320719691560756,93.23199999999996
8,2,c 0231,s 0132,0,0,,438,2.874112724510034,2.274987289673743,0,0.22857142857142856,2,0,,,,,468,62,3.0679672750157336,4.513192408578922,0.679777637927418,103.69600000000003
8,2,c 0231,s 0132,2,1,,508,2.7855773497107563,2.5525099369711373,0,0.0,3,0,-30.092120964176306,-7.776046725809982,0.7097001497317509,0.0572849523015518,524,79,2.8675247351370285,4.3383229566830055,0.6609753961999824,120.78399999999998
8,1,c 0231,s 0132,0,0,,315,2.4836933395075693,2.230086658170619,0,2.0,1,2,,,,,342,50,2.704326923076923,4.019368183527642,0.6728238866396761,85.08800000000001
8,1,c 0231,s 0132,1,2,,510,2.8265956264320673,1.9080730163114539,0,1.8285714285714287,1,0,,,,,538,74,2.976980965028774,4.24076176062555,0.7019920318725102,126.86400000000005
8,1,c 0231,s 0132,2,1,,374,2.6061556763958853,2.6266025192733347,0,1.0,2,1,-37.86079079805601,-7.952405039263688,0.6330435891762337,0.0548100963558499,379,60,2.6369253033507736,4.100311580405051,0.6431036402092848,92.43200000000009
8,2,c 0231,s 0132,1,2,,415,2.5818376370666734,2.41250474065378,0,1.8285714285714285,1,1,,,,,419,69,2.61169841428144,4.084139114160949,0.6394734217612446,102.59199999999998
8,1,c 0231,s 0132,3,3,,433,2.7247927121606836,2.4595430272165935,0,0.41428571428571426,2,0,-12.208073594886438,-15.897923118830093,0.8004432659303037,0.05474962173379483,462,63,2.9207970867893995,4.327787769784174,0.674893789196844,106.75199999999997
8,2,c 0231,s 0132,3,3,,495,2.495672384017282,2.4847829234822365,0,0.0,3,0,-5.3009475099368375,32.40712013558586,0.8636546652083162,0.08559905505500491,510,91,2.570564516129032,4.167211400183029,0.6168548387096776,122.38400000000004
